心声冥想 App 内存监控日志
========================
包名：com.anonymous.soundtherapyapp
进程 ID: 8501
采样间隔：5秒
开始时间：2026-04-16 07:25:05
========================

时间戳 | PSS Total(MB) | Private Dirty(MB) | Heap Size(MB)
2026-04-16 07:40:21 |  |  | 
2026-04-16 07:40:26 |  |  | 
2026-04-16 07:40:31 |  |  | 
2026-04-16 07:40:37 |  |  | 
2026-04-16 07:40:42 |  |  | 
2026-04-16 07:40:47 |  |  | 
2026-04-16 07:40:52 |  |  | 
2026-04-16 07:40:57 |  |  | 
2026-04-16 07:41:02 |  |  | 
2026-04-16 07:41:07 |  |  | 
2026-04-16 07:41:13 |  |  | 
2026-04-16 07:41:18 |  |  | 
2026-04-16 07:41:23 |  |  | 
2026-04-16 07:41:28 |  |  | 
2026-04-16 07:41:33 |  |  | 
2026-04-16 07:41:38 |  |  | 
2026-04-16 07:41:44 |  |  | 
2026-04-16 07:41:49 |  |  | 
2026-04-16 07:41:54 |  |  | 
2026-04-16 07:41:59 |  |  | 
2026-04-16 07:42:04 |  |  | 
2026-04-16 07:42:09 |  |  | 
2026-04-16 07:42:14 |  |  | 
2026-04-16 07:42:20 |  |  | 
2026-04-16 07:42:25 |  |  | 
2026-04-16 07:42:30 |  |  | 
2026-04-16 07:42:35 |  |  | 
2026-04-16 07:42:40 |  |  | 
2026-04-16 07:42:45 |  |  | 
2026-04-16 07:42:51 |  |  | 
2026-04-16 07:42:56 |  |  | 
2026-04-16 07:43:01 |  |  | 
2026-04-16 07:43:06 |  |  | 
2026-04-16 07:43:11 |  |  | 
2026-04-16 07:43:16 | 142.06 |  | 16.04
2026-04-16 07:43:22 | 152.17 |  | 24.51
2026-04-16 07:43:27 | 148.21 |  | 24.26
2026-04-16 07:43:32 | 147.92 |  | 24.18
2026-04-16 07:43:37 | 148.37 |  | 24.18
2026-04-16 07:43:42 | 148.37 |  | 24.18
2026-04-16 07:43:47 | 148.37 |  | 24.18
2026-04-16 07:43:53 | 148.38 |  | 24.18
2026-04-16 07:43:58 | 148.38 |  | 24.18
2026-04-16 07:44:03 |  |  | 
2026-04-16 07:44:08 |  |  | 
2026-04-16 07:44:13 |  |  | 
2026-04-16 07:44:19 |  |  | 
2026-04-16 07:44:24 |  |  | 
2026-04-16 07:44:29 |  |  | 
2026-04-16 07:44:34 |  |  | 
2026-04-16 07:44:39 |  |  | 
2026-04-16 07:44:44 |  |  | 
2026-04-16 07:44:50 |  |  | 
2026-04-16 07:44:55 |  |  | 
2026-04-16 07:45:00 |  |  | 
2026-04-16 07:45:05 | 106.50 |  | 11.26
2026-04-16 07:45:10 | 140.50 |  | 23.56
2026-04-16 07:45:15 | 170.03 |  | 36.21
2026-04-16 07:45:20 | 182.06 |  | 39.76
2026-04-16 07:45:26 | 205.57 |  | 45.27
2026-04-16 07:45:31 | 217.65 |  | 47.62
2026-04-16 07:45:36 | 231.22 |  | 51.20
2026-04-16 07:45:41 | 226.63 |  | 52.54
2026-04-16 07:45:46 | 238.45 |  | 61.93
2026-04-16 07:45:51 | 239.99 |  | 62.26
2026-04-16 07:45:57 | 228.58 |  | 67.16
2026-04-16 07:46:02 | 274.78 |  | 77.02
2026-04-16 07:46:07 | 264.73 |  | 80.02
2026-04-16 07:46:12 | 240.13 |  | 76.51
2026-04-16 07:46:17 | 221.27 |  | 75.54
2026-04-16 07:46:22 | 261.19 |  | 75.81
2026-04-16 07:46:28 | 249.67 |  | 75.88
2026-04-16 07:46:33 | 224.50 |  | 75.98
2026-04-16 07:46:38 |  |  | 
2026-04-16 07:46:43 |  |  | 
2026-04-16 07:46:48 |  |  | 
2026-04-16 07:46:53 |  |  | 
2026-04-16 07:46:58 | 146.80 |  | 23.27
2026-04-16 07:47:04 | 137.71 |  | 23.76
2026-04-16 07:47:09 | 137.80 |  | 23.66
2026-04-16 07:47:14 | 137.81 |  | 23.66
2026-04-16 07:47:19 | 137.84 |  | 23.66
2026-04-16 07:47:24 | 100.73 |  | 23.29
2026-04-16 07:47:30 | 100.47 |  | 23.24
2026-04-16 07:47:35 | 100.45 |  | 23.24
2026-04-16 07:47:40 | 100.46 |  | 23.24
2026-04-16 07:47:45 | 100.48 |  | 23.24
2026-04-16 07:47:50 | 100.49 |  | 23.24
2026-04-16 07:47:55 | 100.49 |  | 23.24
2026-04-16 07:48:01 | 100.50 |  | 23.24
2026-04-16 07:48:06 | 100.50 |  | 23.24
2026-04-16 07:48:11 | 100.49 |  | 23.24
2026-04-16 07:48:16 | 100.49 |  | 23.24
2026-04-16 07:48:21 | 100.49 |  | 23.24
2026-04-16 07:48:27 | 100.49 |  | 23.24
2026-04-16 07:48:32 | 100.50 |  | 23.24
2026-04-16 07:48:37 | 100.51 |  | 23.25
2026-04-16 07:48:42 | 100.51 |  | 23.25
2026-04-16 07:48:47 | 100.50 |  | 23.25
2026-04-16 07:48:52 | 100.50 |  | 23.25
2026-04-16 07:48:58 | 100.89 |  | 23.25
2026-04-16 07:49:03 | 100.91 |  | 23.25
2026-04-16 07:49:08 | 100.90 |  | 23.25
2026-04-16 07:49:13 | 100.89 |  | 23.25
2026-04-16 07:49:19 | 100.89 |  | 23.25
2026-04-16 07:49:24 | 100.91 |  | 23.25
2026-04-16 07:49:29 | 100.93 |  | 23.25
2026-04-16 07:49:34 | 100.93 |  | 23.25
2026-04-16 07:49:40 | 100.92 |  | 23.25
2026-04-16 07:49:45 | 100.94 |  | 23.25
2026-04-16 07:49:50 | 100.92 |  | 23.25
2026-04-16 07:49:55 | 100.93 |  | 23.25
2026-04-16 07:50:00 | 100.93 |  | 23.25
2026-04-16 07:50:06 | 100.94 |  | 23.25
2026-04-16 07:50:11 | 100.93 |  | 23.25
2026-04-16 07:50:16 | 100.94 |  | 23.25
2026-04-16 07:50:21 | 100.94 |  | 23.25
2026-04-16 07:50:27 | 100.93 |  | 23.25
2026-04-16 07:50:32 | 100.94 |  | 23.25
2026-04-16 07:50:37 | 100.94 |  | 23.25
2026-04-16 07:50:42 | 100.94 |  | 23.25
2026-04-16 07:50:47 | 100.94 |  | 23.25
2026-04-16 07:50:53 | 100.94 |  | 23.25
2026-04-16 07:50:58 | 100.94 |  | 23.25
2026-04-16 07:51:03 | 100.94 |  | 23.25
2026-04-16 07:51:08 | 100.95 |  | 23.25
2026-04-16 07:51:14 | 100.94 |  | 23.25
2026-04-16 07:51:19 | 100.95 |  | 23.25
2026-04-16 07:51:24 | 100.94 |  | 23.25
2026-04-16 07:51:29 | 100.95 |  | 23.25
2026-04-16 07:51:35 | 100.95 |  | 23.25
2026-04-16 07:51:40 | 100.94 |  | 23.25
2026-04-16 07:51:45 | 100.94 |  | 23.25
2026-04-16 07:51:50 | 100.94 |  | 23.25
2026-04-16 07:51:56 | 100.95 |  | 23.25
2026-04-16 07:52:01 | 100.94 |  | 23.25
2026-04-16 07:52:06 | 100.94 |  | 23.25
2026-04-16 07:52:11 | 100.94 |  | 23.25
2026-04-16 07:52:17 | 100.94 |  | 23.25
2026-04-16 07:52:22 | 100.94 |  | 23.25
2026-04-16 07:52:27 | 100.32 |  | 23.25
2026-04-16 07:52:32 | 100.09 |  | 23.27
2026-04-16 07:52:37 | 100.16 |  | 23.27
2026-04-16 07:52:43 | 100.20 |  | 23.29
2026-04-16 07:52:48 | 100.21 |  | 23.29
2026-04-16 07:52:53 | 100.24 |  | 23.30
2026-04-16 07:52:58 | 99.44 |  | 22.66
2026-04-16 07:53:03 | 99.47 |  | 22.66
2026-04-16 07:53:09 | 99.49 |  | 22.66
2026-04-16 07:53:14 | 99.50 |  | 22.66
2026-04-16 07:53:19 | 99.52 |  | 22.66
2026-04-16 07:53:24 | 99.53 |  | 22.66
2026-04-16 07:53:29 | 99.55 |  | 22.67
2026-04-16 07:53:35 | 99.56 |  | 22.67
2026-04-16 07:53:40 | 99.56 |  | 22.68
2026-04-16 07:53:45 | 99.60 |  | 22.69
2026-04-16 07:53:50 | 99.61 |  | 22.70
2026-04-16 07:53:56 | 99.62 |  | 22.70
2026-04-16 07:54:01 | 99.61 |  | 22.70
2026-04-16 07:54:06 | 99.62 |  | 22.70
2026-04-16 07:54:11 | 99.61 |  | 22.70
2026-04-16 07:54:17 | 99.63 |  | 22.70
2026-04-16 07:54:22 | 99.61 |  | 22.70
2026-04-16 07:54:27 | 99.61 |  | 22.70
2026-04-16 07:54:32 | 99.60 |  | 22.70
2026-04-16 07:54:37 | 99.61 |  | 22.70
2026-04-16 07:54:43 | 99.62 |  | 22.70
2026-04-16 07:54:48 | 99.59 |  | 22.70
2026-04-16 07:54:53 | 99.59 |  | 22.70
2026-04-16 07:54:58 | 99.60 |  | 22.70
2026-04-16 07:55:03 | 99.60 |  | 22.70
2026-04-16 07:55:09 | 99.60 |  | 22.70
2026-04-16 07:55:14 | 99.62 |  | 22.70
2026-04-16 07:55:19 | 99.66 |  | 22.72
2026-04-16 07:55:24 | 99.16 |  | 22.72
2026-04-16 07:55:30 | 98.83 |  | 22.72
2026-04-16 07:55:35 | 98.83 |  | 22.72
2026-04-16 07:55:40 | 98.80 |  | 22.72
2026-04-16 07:55:45 | 98.83 |  | 22.73
2026-04-16 07:55:51 | 98.82 |  | 22.73
2026-04-16 07:55:56 | 98.81 |  | 22.73
2026-04-16 07:56:01 | 98.79 |  | 22.73
2026-04-16 07:56:06 | 98.80 |  | 22.73
2026-04-16 07:56:11 | 98.56 |  | 22.73
2026-04-16 07:56:17 | 98.59 |  | 22.73
2026-04-16 07:56:22 | 98.59 |  | 22.73
2026-04-16 07:56:27 | 98.58 |  | 22.73
2026-04-16 07:56:32 | 98.63 |  | 22.75
2026-04-16 07:56:37 | 98.62 |  | 22.75
2026-04-16 07:56:42 | 98.62 |  | 22.75
2026-04-16 07:56:48 | 98.65 |  | 22.75
2026-04-16 07:56:53 | 98.62 |  | 22.75
2026-04-16 07:56:58 | 98.62 |  | 22.75
2026-04-16 07:57:03 | 98.63 |  | 22.75
2026-04-16 07:57:08 | 98.59 |  | 22.41
2026-04-16 07:57:14 | 98.63 |  | 22.41
2026-04-16 07:57:19 | 98.57 |  | 22.40
2026-04-16 07:57:24 | 98.57 |  | 22.41
2026-04-16 07:57:29 | 98.57 |  | 22.41
2026-04-16 07:57:34 | 98.56 |  | 22.41
2026-04-16 07:57:40 | 98.56 |  | 22.41
2026-04-16 07:57:45 | 98.57 |  | 22.41
2026-04-16 07:57:50 | 98.57 |  | 22.41
2026-04-16 07:57:55 | 98.60 |  | 22.43
2026-04-16 07:58:01 | 98.61 |  | 22.43
2026-04-16 07:58:06 | 98.60 |  | 22.43
2026-04-16 07:58:11 | 98.61 |  | 22.43
2026-04-16 07:58:16 | 98.66 |  | 22.43
2026-04-16 07:58:21 | 98.66 |  | 22.43
2026-04-16 07:58:27 | 98.66 |  | 22.43
2026-04-16 07:58:32 | 98.66 |  | 22.43
