timestamp,total_pss,native,dalvik
09:57:00,52803,22066,10737
09:57:05,52803,22066,10737
09:57:11,52803,22066,10737
09:57:16,52807,22066,10741
09:57:21,52807,22066,10741
09:57:27,52803,22066,10737
09:57:32,52807,22066,10741
09:57:37,52803,22066,10737
09:57:43,52803,22066,10737
09:57:48,52807,22070,10737
09:57:53,52811,22070,10741
09:57:58,52807,22070,10737
09:58:04,52811,22070,10741
09:58:09,52807,22070,10737
09:58:14,52807,22070,10737
09:58:20,52811,22070,10741
09:58:25,52811,22070,10741
09:58:30,52811,22070,10741
09:58:36,52811,22070,10741
09:58:41,52811,22070,10741
09:58:46,52811,22070,10741
09:58:51,52811,22070,10741
09:58:57,52803,22070,10733
09:59:02,52810,22070,10740
09:59:07,52806,22070,10736
09:59:13,52810,22070,10740
09:59:18,52810,22070,10740
09:59:23,52810,22070,10740
09:59:29,52810,22070,10740
09:59:34,52806,22070,10736
09:59:39,52810,22070,10740
09:59:44,52810,22070,10740
09:59:50,52806,22070,10736
09:59:55,52810,22070,10740
10:00:00,52806,22070,10736
10:00:06,52806,22070,10736
10:00:11,52810,22070,10740
10:00:16,52810,22070,10740
10:00:22,52810,22070,10740
10:00:27,52810,22070,10740
10:00:32,52810,22070,10740
10:00:37,52810,22070,10740
10:00:43,52810,22070,10740
10:00:48,52810,22070,10740
10:00:53,52810,22070,10740
10:00:59,52810,22070,10740
10:01:04,52810,22070,10740
10:01:09,52826,22086,10740
10:01:15,52826,22086,10740
10:01:20,52822,22086,10736
10:01:25,52826,22086,10740
10:01:30,52826,22086,10740
10:01:36,52826,22086,10740
10:01:41,52822,22086,10736
10:01:46,52826,22086,10740
10:01:52,52826,22086,10740
10:01:57,52826,22086,10740
10:02:02,52822,22086,10736
10:02:08,52826,22086,10740
10:02:13,52826,22086,10740
10:02:18,52826,22086,10740
10:02:24,52826,22086,10740
10:02:29,52818,22086,10732
10:02:34,52826,22086,10740
10:02:39,52826,22086,10740
10:02:45,52826,22086,10740
10:02:50,52822,22086,10736
10:02:55,52826,22086,10740
10:03:01,52826,22086,10740
10:03:06,52826,22086,10740
10:03:11,52822,22086,10736
10:03:17,52822,22086,10736
10:03:22,52826,22086,10740
10:03:27,52826,22086,10740
10:03:32,52826,22086,10740
10:03:38,52822,22086,10736
10:03:43,52826,22086,10740
10:03:48,52826,22086,10740
10:03:54,52822,22086,10736
10:03:59,52826,22086,10740
10:04:04,52822,22086,10736
10:04:10,52826,22086,10740
10:04:15,52822,22086,10736
10:04:20,52826,22086,10740
10:04:26,52826,22086,10740
10:04:31,52822,22086,10736
10:04:36,52826,22086,10740
10:04:41,52818,22086,10732
10:04:47,52822,22086,10736
10:04:52,52826,22086,10740
10:04:57,52822,22086,10736
10:05:03,52826,22086,10740
10:05:08,52826,22086,10740
10:05:13,52826,22086,10740
10:05:19,52826,22086,10740
10:05:24,52826,22086,10740
10:05:29,52826,22086,10740
10:05:35,52826,22086,10740
10:05:40,52826,22086,10740
10:05:45,52826,22086,10740
10:05:51,52826,22086,10740
10:05:56,52822,22086,10736
10:06:01,52826,22086,10740
10:06:06,52822,22086,10736
10:06:12,52826,22086,10740
10:06:17,52822,22086,10736
10:06:22,52822,22086,10736
10:06:28,52826,22086,10740
10:06:33,52826,22086,10740
10:06:38,52826,22086,10740
10:06:44,52822,22086,10736
10:06:49,52822,22086,10736
10:06:54,52826,22086,10740
10:06:59,52826,22086,10740
10:07:05,52826,22086,10740
10:07:10,52826,22086,10740
10:07:15,52826,22086,10740
10:07:21,52822,22086,10736
10:07:26,52826,22086,10740
10:07:31,52826,22086,10740
10:07:37,52822,22086,10736
10:07:42,52822,22086,10736
10:07:47,52826,22086,10740
10:07:52,52826,22086,10740
10:07:58,52822,22086,10736
10:08:03,52822,22086,10736
10:08:08,52826,22086,10740
10:08:14,52826,22086,10740
10:08:19,52826,22086,10740
10:08:24,52826,22086,10740
10:08:30,52826,22086,10740
10:08:35,52826,22086,10740
10:08:40,52822,22086,10736
10:08:46,52826,22086,10740
10:08:51,52826,22086,10740
10:08:56,52826,22086,10740
10:09:01,52826,22086,10740
10:09:07,52826,22086,10740
10:09:12,52822,22086,10736
10:09:17,52826,22086,10740
10:09:23,52826,22086,10740
10:09:28,52826,22086,10740
10:09:33,52826,22086,10740
10:09:39,52826,22086,10740
10:09:44,52822,22086,10736
10:09:49,52822,22086,10736
10:09:55,52826,22086,10740
10:10:00,52826,22086,10740
10:10:05,52826,22086,10740
10:10:11,52826,22086,10740
10:10:16,52826,22086,10740
10:10:21,52826,22086,10740
10:10:26,52826,22086,10740
10:10:32,52826,22086,10740
10:10:37,52826,22086,10740
10:10:42,52826,22086,10740
10:10:48,52822,22086,10736
10:10:53,52826,22086,10740
10:10:58,52822,22086,10736
10:11:04,52826,22086,10740
10:11:09,52826,22086,10740
10:11:14,52826,22086,10740
10:11:20,52826,22086,10740
10:11:25,52826,22086,10740
10:11:30,52826,22086,10740
10:11:36,52826,22086,10740
10:11:41,52824,22085,10739
10:11:46,52824,22085,10739
10:11:51,52826,22086,10740
10:11:57,52826,22086,10740
